Date,D-mart Open,D-mart High, D-mart Low,D-mart Close,D-mart Adj Close,D-mart Volume,Reliance Open,Reliance High,Reliance Low,Reliance Close,Reliance Adj Close,Reliance Volume,,Drop down for visibility,,,,,,,,,,,,Date,D-mart Adj Close,Reliance Adj Close
10-05-2022,3501,3545.25,3402.149902,3414.949951,3414.949951,696666,2495,2526.600098,2458,2474.649902,2467.22168,9004636,,,,,,,,,,,,,,10-05-2022,3414.949951,2467.22168
11-05-2022,3448,3448,3311.699951,3339.699951,3339.699951,689554,2472.649902,2484.949951,2421.949951,2449.300049,2441.947998,7681157,,,,,,,,,,,,,,11-05-2022,3339.699951,2441.947998
12-05-2022,3310,3334.949951,3241.25,3270.449951,3270.449951,725552,2427.5,2434.850098,2370,2399.399902,2392.197754,9456280,,,,,,,,,,,,,,12-05-2022,3270.449951,2392.197754
13-05-2022,3351,3357.75,3205,3230.600098,3230.600098,546754,2426,2478,2415.350098,2426.600098,2419.316162,8910998,,,,,,,,,,,,,,13-05-2022,3230.600098,2419.316162
16-05-2022,3260,3620,3186,3561.100098,3561.100098,1871384,2434.449951,2481,2416.649902,2427.199951,2419.914307,6201594,,,,,,,,,,,,,,16-05-2022,3561.100098,2419.914307
17-05-2022,3620,3724,3473.449951,3657,3657,926148,2435.100098,2539.899902,2432,2529.149902,2521.558105,7638666,,,,,,,,,,,,,,17-05-2022,3657,2521.558105
18-05-2022,3700,3781,3650,3664.050049,3664.050049,712472,2539.649902,2570,2508.25,2538.350098,2530.730713,7973235,,,,,,,,,,,,,,18-05-2022,3664.050049,2530.730713
19-05-2022,3513,3649,3491.5,3614.850098,3614.850098,439658,2484,2512.5,2466.050049,2479.850098,2472.40625,6783641,,,,,,,,,,,,,,19-05-2022,3614.850098,2472.40625
20-05-2022,3708.899902,3717.199951,3610,3630.399902,3630.399902,334172,2512.5,2644.399902,2502,2624.449951,2616.572266,10057508,,,,,,,,,,,,,,20-05-2022,3630.399902,2616.572266
23-05-2022,3650,3694.5,3552.050049,3574.100098,3574.100098,258246,2631.5,2653.550049,2593,2606.899902,2599.074707,7039144,,,,,,,,,,,,,,23-05-2022,3574.100098,2599.074707
24-05-2022,3579.949951,3685,3571.199951,3656.75,3656.75,391193,2607,2638,2597.699951,2615.850098,2607.998047,6243086,,,,,,,,,,,,,,24-05-2022,3656.75,2607.998047
25-05-2022,3670,3694,3555.649902,3586.449951,3586.449951,224375,2635,2656.699951,2601.5,2612,2604.159668,5867760,,,,,,,,,,,,,,25-05-2022,3586.449951,2604.159668
26-05-2022,3586.449951,3635.699951,3465.300049,3577.449951,3577.449951,279250,2624.399902,2634.899902,2548,2587.100098,2579.334473,8252551,,,,,,,,,,,,,,26-05-2022,3577.449951,2579.334473
27-05-2022,3605,3649,3586,3613.850098,3613.850098,199688,2593.050049,2605.149902,2540.100098,2575.100098,2567.370361,7624888,,,,,,,,,,,,,,27-05-2022,3613.850098,2567.370361
30-05-2022,3660,3824.899902,3645,3796.399902,3796.399902,429986,2615,2674,2594.199951,2664.800049,2656.801025,6393341,,,,,,,,,,,,,,30-05-2022,3796.399902,2656.801025
31-05-2022,3807.75,4049,3767.899902,3972.800049,3972.800049,1335568,2641.399902,2678.800049,2615.699951,2632.649902,2624.747559,32591420,,,,,,,,,,,,,,31-05-2022,3972.800049,2624.747559
01-06-2022,3960,4039,3812.550049,3874.050049,3874.050049,620365,2634.300049,2655.199951,2616.199951,2633.5,2625.594971,4512079,,,,,,,,,,,,,,01-06-2022,3874.050049,2625.594971
02-06-2022,3885,3927.550049,3831.100098,3856.899902,3856.899902,302036,2634,2732.449951,2634,2724.300049,2716.122559,10211408,,,,,,,,,,,,,,02-06-2022,3856.899902,2716.122559
03-06-2022,3888,3888.399902,3768,3820.100098,3820.100098,349881,2744,2817.350098,2742,2779.5,2771.156738,11048210,,,,,,,,,,,,,,03-06-2022,3820.100098,2771.156738
06-06-2022,3800,3800,3675,3734.75,3734.75,295307,2780,2814,2751.800049,2767.550049,2759.242676,5119488,,,,,,,,,,,,,,06-06-2022,3734.75,2759.242676
07-06-2022,3704,3778.800049,3652.050049,3726.699951,3726.699951,301552,2769.899902,2791.100098,2752.050049,2772.75,2764.427002,5703333,,,,,,,,,,,,,,07-06-2022,3726.699951,2764.427002
08-06-2022,3765,3771,3700,3739.399902,3739.399902,250665,2772.75,2781,2716.300049,2724.050049,2715.873291,5759172,,,,,,,,,,,,,,08-06-2022,3739.399902,2715.873291
09-06-2022,3729.899902,3850,3686.399902,3830.350098,3830.350098,445083,2710,2803,2710,2798.75,2790.349121,7973935,,,,,,,,,,,,,,09-06-2022,3830.350098,2790.349121
10-06-2022,3790,3838,3735.100098,3755.649902,3755.649902,235985,2771.899902,2789.899902,2701.5,2714.25,2706.102783,8349943,,,,,,,,,,,,,,10-06-2022,3755.649902,2706.102783
13-06-2022,3700,3743.600098,3644.399902,3661.600098,3661.600098,252912,2650,2672.800049,2616.300049,2662.899902,2654.906738,8131998,,,,,,,,,,,,,,13-06-2022,3661.600098,2654.906738
14-06-2022,3628,3712.699951,3552.25,3648.300049,3648.300049,424143,2650.050049,2671.850098,2613.449951,2628.100098,2620.211426,6790653,,,,,,,,,,,,,,14-06-2022,3648.300049,2620.211426
15-06-2022,3669.899902,3743.949951,3645.350098,3662.899902,3662.899902,274604,2617.550049,2637.300049,2584.399902,2596.300049,2588.506836,5166738,,,,,,,,,,,,,,15-06-2022,3662.899902,2588.506836
16-06-2022,3736,3737.899902,3562,3682.600098,3682.600098,408563,2623,2659.050049,2554,2560,2552.315674,7896943,,,,,,,,,,,,,,16-06-2022,3682.600098,2552.315674
17-06-2022,3670,3673.850098,3413.699951,3460.550049,3460.550049,1104855,2560,2624.850098,2556.100098,2590,2582.225586,11286988,,,,,,,,,,,,,,17-06-2022,3460.550049,2582.225586
20-06-2022,3493.449951,3536.699951,3460.550049,3479.100098,3479.100098,222230,2605,2617.100098,2521.100098,2543.050049,2535.416504,5568825,,,,,,,,,,,,,,20-06-2022,3479.100098,2535.416504
21-06-2022,3520,3545,3450,3519.550049,3519.550049,340688,2560,2593.399902,2528.300049,2584.100098,2576.343506,5408801,,,,,,,,,,,,,,21-06-2022,3519.550049,2576.343506
22-06-2022,3524.449951,3524.449951,3466.050049,3486.350098,3486.350098,197297,2558.100098,2558.300049,2501,2505.600098,2498.079102,4899839,,,,,,,,,,,,,,22-06-2022,3486.350098,2498.079102
23-06-2022,3487.75,3502.649902,3401,3440.449951,3440.449951,355857,2515.050049,2525,2445,2464.949951,2457.551025,8974475,,,,,,,,,,,,,,23-06-2022,3440.449951,2457.551025
24-06-2022,3489.949951,3489.949951,3390.100098,3412,3412,454591,2480,2511,2468,2500.050049,2492.545654,6571866,,,,,,,,,,,,,,24-06-2022,3412,2492.545654
27-06-2022,3460,3460,3400,3408.600098,3408.600098,276838,2544.949951,2544.949951,2481.550049,2492.649902,2485.167725,7141493,,,,,,,,,,,,,,27-06-2022,3408.600098,2485.167725
28-06-2022,3407.550049,3497,3374,3479.949951,3479.949951,440886,2482.100098,2533.949951,2482.100098,2527.699951,2520.112549,6263867,,,,,,,,,,,,,,28-06-2022,3479.949951,2520.112549
29-06-2022,3450.449951,3527,3425,3445.25,3445.25,405633,2507.199951,2597,2501,2580.149902,2572.405029,8863172,,,,,,,,,,,,,,29-06-2022,3445.25,2572.405029
30-06-2022,3445.199951,3469,3370,3406.100098,3406.100098,384404,2580,2615.899902,2566,2595.649902,2587.858643,10666627,,,,,,,,,,,,,,30-06-2022,3406.100098,2587.858643
01-07-2022,3394.449951,3406.649902,3331.100098,3388.75,3388.75,311228,2574.899902,2592,2365,2408.699951,2401.469727,37841671,,,,,,,,,,,,,,01-07-2022,3388.75,2401.469727
04-07-2022,3530,3555,3460,3495.5,3495.5,766616,2378.949951,2442,2366.100098,2413.699951,2406.454834,19317335,,,,,,,,,,,,,,04-07-2022,3495.5,2406.454834
05-07-2022,3506,3657.649902,3506,3639.050049,3639.050049,859254,2423,2464.899902,2417.100098,2433.25,2425.946045,8144239,,,,,,,,,,,,,,05-07-2022,3639.050049,2425.946045
06-07-2022,3650,3830,3650,3792,3792,751853,2420.100098,2441.949951,2388,2411.850098,2404.610352,11050026,,,,,,,,,,,,,,06-07-2022,3792,2404.610352
07-07-2022,3870,3935.600098,3830,3850.949951,3850.949951,463192,2425.899902,2433.25,2375,2388.100098,2380.931641,10753423,,,,,,,,,,,,,,07-07-2022,3850.949951,2380.931641
